11-13 19:04:17: Starting training... (cartpole1-1000)
11-13 19:04:17: New best reward: 19.0 (-100.0%) at episode 0, saving model...
11-13 19:04:18: New best reward: 25.0 (+31.6%) at episode 1, saving model...
11-13 19:04:18: New best reward: 31.0 (+24.0%) at episode 4, saving model...
11-13 19:04:18: New best reward: 40.0 (+29.0%) at episode 5, saving model...
11-13 19:04:21: New best reward: 46.0 (+15.0%) at episode 20, saving model...
11-13 19:04:30: New best reward: 51.0 (+10.9%) at episode 70, saving model...
11-13 19:04:35: New best reward: 68.0 (+33.3%) at episode 95, saving model...
11-13 19:04:51: New best reward: 80.0 (+17.6%) at episode 170, saving model...
11-13 19:05:43: New best reward: 84.0 (+5.0%) at episode 398, saving model...
11-13 19:06:09: New best reward: 89.0 (+6.0%) at episode 495, saving model...
11-13 19:07:44: New best reward: 90.0 (+1.1%) at episode 829, saving model...
