11-17 12:18:46: Starting training... (cartpole1-100)
11-17 12:18:46: New best reward: 14.0 (-100.0%) at episode 0, saving model...
11-17 12:18:46: New best reward: 24.0 (+71.4%) at episode 1, saving model...
11-17 12:18:47: New best reward: 32.0 (+33.3%) at episode 2, saving model...
11-17 12:18:47: New best reward: 40.0 (+25.0%) at episode 6, saving model...
11-17 12:18:48: New best reward: 49.0 (+22.5%) at episode 22, saving model...
11-17 12:18:49: New best reward: 59.0 (+20.4%) at episode 39, saving model...
11-17 12:19:09: New best reward: 80.0 (+35.6%) at episode 260, saving model...
11-17 12:19:17: New best reward: 91.0 (+13.8%) at episode 333, saving model...
11-17 12:19:24: New best reward: 96.0 (+5.5%) at episode 398, saving model...
11-17 12:19:25: New best reward: 104.0 (+8.3%) at episode 402, saving model...
11-17 12:20:06: New best reward: 123.0 (+18.3%) at episode 693, saving model...
11-17 12:21:10: New best reward: 167.0 (+35.8%) at episode 1080, saving model...
11-17 12:27:36: New best reward: 270.0 (+61.7%) at episode 2287, saving model...
11-17 12:28:55: New best reward: 392.0 (+45.2%) at episode 2449, saving model...
11-17 12:47:06: New best reward: 430.0 (+9.7%) at episode 4109, saving model...
11-17 12:55:58: New best reward: 448.0 (+4.2%) at episode 4574, saving model...
11-17 12:56:23: New best reward: 529.0 (+18.1%) at episode 4609, saving model...
11-17 12:56:32: New best reward: 622.0 (+17.6%) at episode 4614, saving model...
11-17 13:20:07: New best reward: 100000.0 (+15977.2%) at episode 4789, saving model...
