11-17 11:54:47: Starting training... (cartpole1)
11-17 11:54:48: New best reward: 19.0 (-100.0%) at episode 0, saving model...
11-17 11:54:48: New best reward: 24.0 (+26.3%) at episode 4, saving model...
11-17 11:54:48: New best reward: 25.0 (+4.2%) at episode 5, saving model...
11-17 11:54:48: New best reward: 35.0 (+40.0%) at episode 8, saving model...
11-17 11:54:48: New best reward: 45.0 (+28.6%) at episode 16, saving model...
11-17 11:54:48: New best reward: 58.0 (+28.9%) at episode 25, saving model...
11-17 11:54:49: New best reward: 99.0 (+70.7%) at episode 193, saving model...
11-17 11:54:52: New best reward: 128.0 (+29.3%) at episode 481, saving model...
11-17 11:54:52: New best reward: 157.0 (+22.7%) at episode 505, saving model...
11-17 11:54:54: New best reward: 171.0 (+8.9%) at episode 643, saving model...
11-17 11:54:54: New best reward: 204.0 (+19.3%) at episode 680, saving model...
11-17 11:54:58: New best reward: 229.0 (+12.3%) at episode 887, saving model...
11-17 11:54:59: New best reward: 240.0 (+4.8%) at episode 955, saving model...
11-17 11:55:00: New best reward: 299.0 (+24.6%) at episode 968, saving model...
11-17 11:55:00: New best reward: 396.0 (+32.4%) at episode 971, saving model...
11-17 11:55:01: New best reward: 427.0 (+7.8%) at episode 1032, saving model...
11-17 11:55:11: New best reward: 469.0 (+9.8%) at episode 1349, saving model...
11-17 11:55:48: New best reward: 514.0 (+9.6%) at episode 2129, saving model...
11-17 11:55:49: New best reward: 538.0 (+4.7%) at episode 2131, saving model...
11-17 11:56:12: New best reward: 740.0 (+37.5%) at episode 2443, saving model...
11-17 11:57:23: New best reward: 824.0 (+11.4%) at episode 3274, saving model...
11-17 11:57:23: New best reward: 861.0 (+4.5%) at episode 3275, saving model...
11-17 11:57:24: New best reward: 1114.0 (+29.4%) at episode 3277, saving model...
11-17 11:58:30: New best reward: 1527.0 (+37.1%) at episode 3881, saving model...
11-17 11:58:57: New best reward: 11436.0 (+648.9%) at episode 4101, saving model...
11-17 11:59:44: New best reward: 100000.0 (+774.4%) at episode 4178, saving model...
