11-19 17:49:10: Starting training... (cartpole1-100)
11-19 17:49:10: New best reward: 13.0 (-100.0%) at episode 0, saving model...
11-19 17:49:10: New best reward: 23.0 (+76.9%) at episode 1, saving model...
11-19 17:49:10: New best reward: 84.0 (+265.2%) at episode 12, saving model...
11-19 17:49:12: New best reward: 89.0 (+6.0%) at episode 228, saving model...
11-19 17:49:12: New best reward: 90.0 (+1.1%) at episode 262, saving model...
11-19 17:49:12: New best reward: 110.0 (+22.2%) at episode 281, saving model...
11-19 17:49:13: New best reward: 113.0 (+2.7%) at episode 394, saving model...
11-19 17:49:14: New best reward: 114.0 (+0.9%) at episode 426, saving model...
11-19 17:49:14: New best reward: 257.0 (+125.4%) at episode 444, saving model...
11-19 17:49:27: New best reward: 343.0 (+33.5%) at episode 1067, saving model...
11-19 17:49:29: New best reward: 405.0 (+18.1%) at episode 1126, saving model...
11-19 17:49:36: New best reward: 690.0 (+70.4%) at episode 1308, saving model...
11-19 17:50:40: New best reward: 912.0 (+32.2%) at episode 2044, saving model...
11-19 17:50:59: New best reward: 951.0 (+4.3%) at episode 2159, saving model...
11-19 17:58:04: New best reward: 1046.0 (+10.0%) at episode 4609, saving model...
11-19 17:58:12: New best reward: 1074.0 (+2.7%) at episode 4628, saving model...
11-19 17:58:27: New best reward: 1139.0 (+6.1%) at episode 4662, saving model...
11-19 17:58:28: New best reward: 1175.0 (+3.2%) at episode 4663, saving model...
11-19 17:58:37: New best reward: 1217.0 (+3.6%) at episode 4682, saving model...
11-19 17:58:39: New best reward: 1229.0 (+1.0%) at episode 4684, saving model...
11-19 17:58:56: New best reward: 2559.0 (+108.2%) at episode 4717, saving model...
11-19 17:59:17: New best reward: 2776.0 (+8.5%) at episode 4743, saving model...
11-19 17:59:20: New best reward: 3675.0 (+32.4%) at episode 4745, saving model...
11-19 17:59:33: New best reward: 3908.0 (+6.3%) at episode 4757, saving model...
11-19 17:59:44: New best reward: 16198.0 (+314.5%) at episode 4758, saving model...
11-19 18:01:19: New best reward: 100000.0 (+517.4%) at episode 4760, saving model...
11-19 18:01:20: Average duration: 1192858.0
