11-21 22:19:37: Starting training... (cartpole1-3)
11-21 22:19:37: New best reward: 16.0 (-100.0%) at episode 0, saving model...
11-21 22:19:37: New best reward: 26.0 (+62.5%) at episode 2, saving model...
11-21 22:19:37: New best reward: 34.0 (+30.8%) at episode 18, saving model...
11-21 22:19:37: New best reward: 35.0 (+2.9%) at episode 21, saving model...
11-21 22:19:38: New best reward: 39.0 (+11.4%) at episode 23, saving model...
11-21 22:19:38: New best reward: 53.0 (+35.9%) at episode 25, saving model...
11-21 22:19:38: New best reward: 55.0 (+3.8%) at episode 26, saving model...
11-21 22:19:38: New best reward: 70.0 (+27.3%) at episode 53, saving model...
11-21 22:19:38: New best reward: 90.0 (+28.6%) at episode 61, saving model...
11-21 22:19:41: New best reward: 91.0 (+1.1%) at episode 442, saving model...
11-21 22:19:41: New best reward: 99.0 (+8.8%) at episode 472, saving model...
11-21 22:19:42: New best reward: 127.0 (+28.3%) at episode 502, saving model...
11-21 22:19:42: New best reward: 150.0 (+18.1%) at episode 537, saving model...
11-21 22:19:43: New best reward: 161.0 (+7.3%) at episode 630, saving model...
11-21 22:19:47: New best reward: 209.0 (+29.8%) at episode 856, saving model...
11-21 22:19:49: New best reward: 270.0 (+29.2%) at episode 942, saving model...
11-21 22:20:03: New best reward: 275.0 (+1.9%) at episode 1346, saving model...
11-21 22:20:04: New best reward: 301.0 (+9.5%) at episode 1358, saving model...
11-21 22:20:24: New best reward: 356.0 (+18.3%) at episode 1711, saving model...
11-21 22:20:29: New best reward: 420.0 (+18.0%) at episode 1773, saving model...
11-21 22:20:36: New best reward: 435.0 (+3.6%) at episode 1857, saving model...
11-21 22:20:38: New best reward: 442.0 (+1.6%) at episode 1881, saving model...
11-21 22:20:56: New best reward: 454.0 (+2.7%) at episode 2047, saving model...
11-21 22:21:52: New best reward: 458.0 (+0.9%) at episode 2659, saving model...
11-21 22:25:06: New best reward: 464.0 (+1.3%) at episode 4604, saving model...
11-21 22:26:01: New best reward: 474.0 (+2.2%) at episode 5041, saving model...
11-21 22:27:19: New best reward: 484.0 (+2.1%) at episode 5643, saving model...
11-21 22:28:46: New best reward: 514.0 (+6.2%) at episode 6382, saving model...
11-21 22:29:46: New best reward: 621.0 (+20.8%) at episode 6834, saving model...
11-21 22:31:37: New best reward: 630.0 (+1.4%) at episode 7589, saving model...
11-21 22:33:34: New best reward: 671.0 (+6.5%) at episode 8371, saving model...
11-21 22:33:35: New best reward: 694.0 (+3.4%) at episode 8373, saving model...
11-21 22:34:25: New best reward: 698.0 (+0.6%) at episode 8666, saving model...
11-21 22:34:32: New best reward: 895.0 (+28.2%) at episode 8703, saving model...
11-21 22:34:36: New best reward: 1128.0 (+26.0%) at episode 8720, saving model...
11-21 22:34:40: New best reward: 1177.0 (+4.3%) at episode 8738, saving model...
11-21 22:35:03: New best reward: 1787.0 (+51.8%) at episode 8846, saving model...
11-21 22:36:26: New best reward: 100000.0 (+5496.0%) at episode 8916, saving model...
11-21 22:36:26: Average duration: 1675947.0 timesteps, Average layer passes: 4307010.0 (cartpole1-3)
