11-24 05:06:22: Seed: 73570
11-24 05:06:22: Starting training with 1 layer(s)... (cartpole1-linear16)
11-24 05:06:23: New best reward: 20.0 (-2100.0%) at episode 0, saving model...
11-24 05:06:24: New best reward: 21.0 (+5.0%) at episode 4, saving model...
11-24 05:06:24: New best reward: 26.0 (+23.8%) at episode 5, saving model...
11-24 05:06:24: New best reward: 50.0 (+92.3%) at episode 8, saving model...
11-24 05:06:24: New best reward: 82.0 (+64.0%) at episode 15, saving model...
11-24 05:06:24: New best reward: 89.0 (+8.5%) at episode 132, saving model...
11-24 05:06:25: New best reward: 92.0 (+3.4%) at episode 281, saving model...
11-24 05:06:27: New best reward: 93.0 (+1.1%) at episode 463, saving model...
11-24 05:06:27: New best reward: 139.0 (+49.5%) at episode 467, saving model...
11-24 05:06:27: New best reward: 154.0 (+10.8%) at episode 563, saving model...
11-24 05:06:28: New best reward: 165.0 (+7.1%) at episode 664, saving model...
11-24 05:06:29: New best reward: 166.0 (+0.6%) at episode 714, saving model...
11-24 05:06:29: New best reward: 191.0 (+15.1%) at episode 718, saving model...
11-24 05:06:30: New best reward: 269.0 (+40.8%) at episode 802, saving model...
11-24 05:06:34: New best reward: 292.0 (+8.6%) at episode 985, saving model...
11-24 05:06:40: New best reward: 466.0 (+59.6%) at episode 1248, saving model...
11-24 05:06:44: New best reward: 500.0 (+7.3%) at episode 1357, saving model...
11-24 05:11:02: Seed: 61481
11-24 05:11:02: Starting training with 1 layer(s)... (cartpole1-linear16)
11-24 05:11:02: New best reward: 15.0 (-1600.0%) at episode 0, saving model...
11-24 05:11:02: New best reward: 25.0 (+66.7%) at episode 1, saving model...
11-24 05:11:02: New best reward: 41.0 (+64.0%) at episode 5, saving model...
11-24 05:11:02: New best reward: 63.0 (+53.7%) at episode 7, saving model...
11-24 05:11:03: New best reward: 64.0 (+1.6%) at episode 50, saving model...
11-24 05:11:03: New best reward: 66.0 (+3.1%) at episode 123, saving model...
11-24 05:11:04: New best reward: 93.0 (+40.9%) at episode 204, saving model...
11-24 05:11:04: New best reward: 108.0 (+16.1%) at episode 243, saving model...
11-24 05:11:04: New best reward: 128.0 (+18.5%) at episode 285, saving model...
11-24 05:11:05: New best reward: 141.0 (+10.2%) at episode 437, saving model...
11-24 05:11:07: New best reward: 145.0 (+2.8%) at episode 582, saving model...
11-24 05:11:08: New best reward: 169.0 (+16.6%) at episode 672, saving model...
11-24 05:11:08: New best reward: 248.0 (+46.7%) at episode 718, saving model...
11-24 05:11:14: New best reward: 251.0 (+1.2%) at episode 1009, saving model...
11-24 05:11:14: New best reward: 283.0 (+12.7%) at episode 1010, saving model...
11-24 05:11:14: New best reward: 287.0 (+1.4%) at episode 1026, saving model...
11-24 05:11:15: New best reward: 301.0 (+4.9%) at episode 1049, saving model...
11-24 05:11:19: New best reward: 308.0 (+2.3%) at episode 1232, saving model...
11-24 05:11:21: New best reward: 443.0 (+43.8%) at episode 1276, saving model...
11-24 05:11:31: New best reward: 500.0 (+12.9%) at episode 1555, saving model...
11-24 05:15:00: Seed: 73725
11-24 05:15:00: Starting training with 1 layer(s)... (cartpole1-linear16)
11-24 05:15:00: New best reward: 13.0 (-1400.0%) at episode 0, saving model...
11-24 05:15:00: New best reward: 20.0 (+53.8%) at episode 1, saving model...
11-24 05:15:00: New best reward: 33.0 (+65.0%) at episode 3, saving model...
11-24 05:15:00: New best reward: 53.0 (+60.6%) at episode 10, saving model...
11-24 05:15:00: New best reward: 60.0 (+13.2%) at episode 67, saving model...
11-24 05:15:00: New best reward: 64.0 (+6.7%) at episode 75, saving model...
11-24 05:15:01: New best reward: 76.0 (+18.8%) at episode 134, saving model...
11-24 05:15:01: New best reward: 87.0 (+14.5%) at episode 135, saving model...
11-24 05:15:01: New best reward: 89.0 (+2.3%) at episode 159, saving model...
11-24 05:15:01: New best reward: 99.0 (+11.2%) at episode 169, saving model...
11-24 05:15:01: New best reward: 150.0 (+51.5%) at episode 222, saving model...
11-24 05:15:05: New best reward: 174.0 (+16.0%) at episode 667, saving model...
11-24 05:15:08: New best reward: 178.0 (+2.3%) at episode 922, saving model...
11-24 05:15:09: New best reward: 270.0 (+51.7%) at episode 934, saving model...
11-24 05:15:11: New best reward: 307.0 (+13.7%) at episode 1018, saving model...
11-24 05:15:14: New best reward: 324.0 (+5.5%) at episode 1160, saving model...
11-24 05:15:14: New best reward: 349.0 (+7.7%) at episode 1179, saving model...
11-24 05:15:21: New best reward: 406.0 (+16.3%) at episode 1382, saving model...
11-24 05:15:22: New best reward: 435.0 (+7.1%) at episode 1397, saving model...
11-24 05:15:23: New best reward: 450.0 (+3.4%) at episode 1423, saving model...
11-24 05:16:47: New best reward: 500.0 (+11.1%) at episode 2852, saving model...
11-24 05:28:09: Seed: 33889
11-24 05:28:09: Starting training with 1 layer(s)... (cartpole1-linear16)
11-24 05:28:09: New best reward: 23.0 (-2400.0%) at episode 0, saving model...
11-24 05:28:09: New best reward: 32.0 (+39.1%) at episode 2, saving model...
11-24 05:28:09: New best reward: 48.0 (+50.0%) at episode 4, saving model...
11-24 05:28:09: New best reward: 50.0 (+4.2%) at episode 20, saving model...
11-24 05:28:10: New best reward: 59.0 (+18.0%) at episode 75, saving model...
11-24 05:28:10: New best reward: 61.0 (+3.4%) at episode 93, saving model...
11-24 05:28:10: New best reward: 71.0 (+16.4%) at episode 102, saving model...
11-24 05:28:10: New best reward: 96.0 (+35.2%) at episode 132, saving model...
11-24 05:28:11: New best reward: 121.0 (+26.0%) at episode 268, saving model...
11-24 05:28:13: New best reward: 122.0 (+0.8%) at episode 503, saving model...
11-24 05:28:14: New best reward: 143.0 (+17.2%) at episode 540, saving model...
11-24 05:28:14: New best reward: 189.0 (+32.2%) at episode 618, saving model...
11-24 05:28:16: New best reward: 218.0 (+15.3%) at episode 760, saving model...
11-24 05:28:21: New best reward: 233.0 (+6.9%) at episode 989, saving model...
11-24 05:28:24: New best reward: 245.0 (+5.2%) at episode 1107, saving model...
11-24 05:28:24: New best reward: 275.0 (+12.2%) at episode 1117, saving model...
11-24 05:28:25: New best reward: 311.0 (+13.1%) at episode 1146, saving model...
11-24 05:28:27: New best reward: 370.0 (+19.0%) at episode 1236, saving model...
11-24 05:28:31: New best reward: 454.0 (+22.7%) at episode 1334, saving model...
11-24 05:28:36: New best reward: 500.0 (+10.1%) at episode 1449, saving model...
11-24 05:34:55: Seed: 71267
11-24 05:34:55: Starting training with 1 layer(s)... (cartpole1-linear16)
11-24 05:34:55: New best reward: 18.0 (-1900.0%) at episode 0, saving model...
11-24 05:34:55: New best reward: 23.0 (+27.8%) at episode 3, saving model...
11-24 05:34:55: New best reward: 50.0 (+117.4%) at episode 7, saving model...
11-24 05:34:55: New best reward: 61.0 (+22.0%) at episode 17, saving model...
11-24 05:34:55: New best reward: 89.0 (+45.9%) at episode 32, saving model...
11-24 05:34:57: New best reward: 101.0 (+13.5%) at episode 285, saving model...
11-24 05:34:57: New best reward: 143.0 (+41.6%) at episode 306, saving model...
11-24 05:35:00: New best reward: 239.0 (+67.1%) at episode 622, saving model...
11-24 05:35:08: New best reward: 374.0 (+56.5%) at episode 1045, saving model...
