11-13 15:32:20: Starting training... (cartpole1)
11-13 15:32:21: New best reward: 11.0 (-100.0%) at episode 0, saving model...
11-13 15:32:21: New best reward: 23.0 (+109.1%) at episode 1, saving model...
11-13 15:32:21: New best reward: 29.0 (+26.1%) at episode 2, saving model...
11-13 15:32:21: New best reward: 44.0 (+51.7%) at episode 10, saving model...
11-13 15:32:21: New best reward: 45.0 (+2.3%) at episode 13, saving model...
11-13 15:32:21: New best reward: 82.0 (+82.2%) at episode 34, saving model...
11-13 15:32:24: New best reward: 85.0 (+3.7%) at episode 899, saving model...
11-13 15:32:25: New best reward: 145.0 (+70.6%) at episode 999, saving model...
11-13 15:33:19: New best reward: 211.0 (+45.5%) at episode 9499, saving model...
11-13 15:45:05: New best reward: 226.0 (+7.1%) at episode 115045, saving model...
11-13 15:52:27: New best reward: 263.0 (+16.4%) at episode 173008, saving model...
11-13 15:52:27: New best reward: 379.0 (+44.1%) at episode 173009, saving model...
11-13 15:52:27: New best reward: 734.0 (+93.7%) at episode 173010, saving model...
11-13 15:52:52: New best reward: 100000.0 (+13524.0%) at episode 173011, saving model...
