11-13 09:13:14: Starting training... (cartpole1)
11-13 09:13:15: New best reward: 19.0 (-100.0%) at episode 0, saving model...
11-13 09:13:15: New best reward: 24.0 (+26.3%) at episode 1, saving model...
11-13 09:13:15: New best reward: 31.0 (+29.2%) at episode 5, saving model...
11-13 09:13:16: New best reward: 44.0 (+41.9%) at episode 26, saving model...
11-13 09:13:16: New best reward: 52.0 (+18.2%) at episode 38, saving model...
11-13 09:13:16: New best reward: 68.0 (+30.8%) at episode 238, saving model...
11-13 09:13:17: New best reward: 69.0 (+1.5%) at episode 430, saving model...
11-13 09:13:19: New best reward: 70.0 (+1.4%) at episode 750, saving model...
11-13 09:13:19: New best reward: 71.0 (+1.4%) at episode 778, saving model...
11-13 09:13:19: New best reward: 98.0 (+38.0%) at episode 808, saving model...
11-13 09:13:21: New best reward: 102.0 (+4.1%) at episode 1180, saving model...
11-13 09:13:23: New best reward: 112.0 (+9.8%) at episode 1507, saving model...
11-13 09:13:34: New best reward: 130.0 (+16.1%) at episode 3239, saving model...
11-13 09:15:38: New best reward: 203.0 (+56.2%) at episode 23143, saving model...
11-13 09:19:22: New best reward: 279.0 (+37.4%) at episode 56467, saving model...
11-13 09:20:27: New best reward: 824.0 (+195.3%) at episode 65751, saving model...
11-13 09:23:51: New best reward: 100000.0 (+12035.9%) at episode 89123, saving model...
