11-17 11:59:45: Starting training... (cartpole1-10)
11-17 11:59:45: New best reward: 36.0 (-100.0%) at episode 0, saving model...
11-17 11:59:45: New best reward: 46.0 (+27.8%) at episode 31, saving model...
11-17 11:59:46: New best reward: 51.0 (+10.9%) at episode 52, saving model...
11-17 11:59:46: New best reward: 60.0 (+17.6%) at episode 71, saving model...
11-17 11:59:48: New best reward: 65.0 (+8.3%) at episode 203, saving model...
11-17 11:59:48: New best reward: 69.0 (+6.2%) at episode 216, saving model...
11-17 11:59:48: New best reward: 82.0 (+18.8%) at episode 219, saving model...
11-17 11:59:49: New best reward: 113.0 (+37.8%) at episode 279, saving model...
11-17 11:59:54: New best reward: 115.0 (+1.8%) at episode 526, saving model...
11-17 11:59:55: New best reward: 161.0 (+40.0%) at episode 596, saving model...
11-17 11:59:58: New best reward: 217.0 (+34.8%) at episode 667, saving model...
11-17 12:00:10: New best reward: 322.0 (+48.4%) at episode 1003, saving model...
11-17 12:00:31: New best reward: 371.0 (+15.2%) at episode 1289, saving model...
11-17 12:00:43: New best reward: 409.0 (+10.2%) at episode 1423, saving model...
11-17 12:00:44: New best reward: 446.0 (+9.0%) at episode 1429, saving model...
11-17 12:00:45: New best reward: 548.0 (+22.9%) at episode 1433, saving model...
11-17 12:18:46: New best reward: 100000.0 (+18148.2%) at episode 5743, saving model...
