11-19 18:18:27: Starting training... (cartpole1-10000)
11-19 18:18:27: New best reward: 23.0 (-100.0%) at episode 0, saving model...
11-19 18:18:27: New best reward: 61.0 (+165.2%) at episode 2, saving model...
11-19 18:18:27: New best reward: 66.0 (+8.2%) at episode 11, saving model...
11-19 18:18:28: New best reward: 99.0 (+50.0%) at episode 51, saving model...
11-19 18:18:34: New best reward: 112.0 (+13.1%) at episode 368, saving model...
11-19 18:18:35: New best reward: 116.0 (+3.6%) at episode 439, saving model...
11-19 18:18:43: New best reward: 151.0 (+30.2%) at episode 714, saving model...
11-19 18:18:51: New best reward: 164.0 (+8.6%) at episode 901, saving model...
11-19 18:19:06: New best reward: 209.0 (+27.4%) at episode 1169, saving model...
11-19 18:19:08: New best reward: 229.0 (+9.6%) at episode 1191, saving model...
11-19 18:19:30: New best reward: 232.0 (+1.3%) at episode 1421, saving model...
11-19 18:19:31: New best reward: 293.0 (+26.3%) at episode 1434, saving model...
11-19 18:19:32: New best reward: 320.0 (+9.2%) at episode 1444, saving model...
11-19 18:19:40: New best reward: 432.0 (+35.0%) at episode 1504, saving model...
11-19 18:23:05: New best reward: 494.0 (+14.4%) at episode 2763, saving model...
11-19 18:23:06: New best reward: 587.0 (+18.8%) at episode 2765, saving model...
11-19 18:23:09: New best reward: 696.0 (+18.6%) at episode 2771, saving model...
11-19 18:23:37: New best reward: 796.0 (+14.4%) at episode 2831, saving model...
11-19 18:23:39: New best reward: 937.0 (+17.7%) at episode 2832, saving model...
11-19 18:23:51: New best reward: 1518.0 (+62.0%) at episode 2847, saving model...
11-19 18:24:15: New best reward: 1751.0 (+15.3%) at episode 2879, saving model...
11-19 18:26:19: New best reward: 5148.0 (+194.0%) at episode 2980, saving model...
11-19 18:26:35: New best reward: 8922.0 (+73.3%) at episode 2981, saving model...
11-19 18:27:07: New best reward: 11898.0 (+33.4%) at episode 2983, saving model...
11-19 18:28:26: New best reward: 30034.0 (+152.4%) at episode 2987, saving model...
11-19 18:30:25: New best reward: 38454.0 (+28.0%) at episode 2994, saving model...
11-19 18:32:02: New best reward: 53863.0 (+40.1%) at episode 2996, saving model...
11-19 18:55:11: New best reward: 59569.0 (+10.6%) at episode 3058, saving model...
11-19 19:04:43: New best reward: 62055.0 (+4.2%) at episode 3082, saving model...
11-19 19:17:41: New best reward: 71428.0 (+15.1%) at episode 3120, saving model...
11-19 19:23:16: New best reward: 73881.0 (+3.4%) at episode 3133, saving model...
11-19 19:37:21: New best reward: 95790.0 (+29.7%) at episode 3167, saving model...
11-19 21:01:56: New best reward: 100000.0 (+4.4%) at episode 3323, saving model...
11-19 21:01:56: Average duration: 5689533.0
