11-19 17:30:50: Starting training... (cartpole1)
11-19 17:30:52: New best reward: 27.0 (-100.0%) at episode 0, saving model...
11-19 17:30:52: New best reward: 30.0 (+11.1%) at episode 1, saving model...
11-19 17:30:52: New best reward: 43.0 (+43.3%) at episode 5, saving model...
11-19 17:30:52: New best reward: 51.0 (+18.6%) at episode 7, saving model...
11-19 17:30:52: New best reward: 63.0 (+23.5%) at episode 9, saving model...
11-19 17:30:52: New best reward: 71.0 (+12.7%) at episode 33, saving model...
11-19 17:30:52: New best reward: 94.0 (+32.4%) at episode 52, saving model...
11-19 17:30:55: New best reward: 98.0 (+4.3%) at episode 379, saving model...
11-19 17:30:55: New best reward: 108.0 (+10.2%) at episode 397, saving model...
11-19 17:30:56: New best reward: 144.0 (+33.3%) at episode 464, saving model...
11-19 17:30:59: New best reward: 177.0 (+22.9%) at episode 679, saving model...
11-19 17:31:00: New best reward: 187.0 (+5.6%) at episode 746, saving model...
11-19 17:31:04: New best reward: 313.0 (+67.4%) at episode 931, saving model...
11-19 17:31:06: New best reward: 327.0 (+4.5%) at episode 980, saving model...
11-19 17:31:11: New best reward: 363.0 (+11.0%) at episode 1129, saving model...
11-19 17:31:30: New best reward: 485.0 (+33.6%) at episode 1471, saving model...
11-19 17:32:23: New best reward: 622.0 (+28.2%) at episode 2171, saving model...
11-19 17:34:13: New best reward: 633.0 (+1.8%) at episode 3171, saving model...
11-19 17:35:00: New best reward: 655.0 (+3.5%) at episode 3449, saving model...
11-19 17:35:01: New best reward: 724.0 (+10.5%) at episode 3450, saving model...
11-19 17:35:01: New best reward: 876.0 (+21.0%) at episode 3451, saving model...
11-19 17:35:21: New best reward: 1710.0 (+95.2%) at episode 3559, saving model...
11-19 17:35:25: New best reward: 12021.0 (+603.0%) at episode 3560, saving model...
11-19 17:35:31: New best reward: 18418.0 (+53.2%) at episode 3561, saving model...
11-19 17:35:39: New best reward: 22804.0 (+23.8%) at episode 3562, saving model...
11-19 17:36:17: New best reward: 40546.0 (+77.8%) at episode 3568, saving model...
11-19 17:36:32: New best reward: 42087.0 (+3.8%) at episode 3570, saving model...
11-19 17:37:56: New best reward: 100000.0 (+137.6%) at episode 3576, saving model...
11-19 17:37:56: Average duration: 1112274.0
