Seed: 63676
11-21 21:59:11: Starting training... (cartpole1-1)
11-21 21:59:13: New best reward: 11.0 (-100.0%) at episode 0, saving model...
11-21 21:59:13: New best reward: 12.0 (+9.1%) at episode 1, saving model...
11-21 21:59:13: New best reward: 28.0 (+133.3%) at episode 2, saving model...
11-21 21:59:13: New best reward: 60.0 (+114.3%) at episode 3, saving model...
11-21 21:59:14: New best reward: 68.0 (+13.3%) at episode 80, saving model...
11-21 21:59:15: New best reward: 77.0 (+13.2%) at episode 193, saving model...
11-21 21:59:15: New best reward: 79.0 (+2.6%) at episode 219, saving model...
11-21 21:59:15: New best reward: 106.0 (+34.2%) at episode 226, saving model...
11-21 21:59:17: New best reward: 169.0 (+59.4%) at episode 403, saving model...
11-21 21:59:23: New best reward: 175.0 (+3.6%) at episode 794, saving model...
11-21 21:59:24: New best reward: 200.0 (+14.3%) at episode 819, saving model...
11-21 21:59:27: New best reward: 253.0 (+26.5%) at episode 991, saving model...
11-21 21:59:31: New best reward: 259.0 (+2.4%) at episode 1105, saving model...
11-21 21:59:31: New best reward: 264.0 (+1.9%) at episode 1119, saving model...
11-21 21:59:32: New best reward: 388.0 (+47.0%) at episode 1132, saving model...
11-21 21:59:34: New best reward: 446.0 (+14.9%) at episode 1179, saving model...
11-21 21:59:44: New best reward: 487.0 (+9.2%) at episode 1403, saving model...
11-21 22:00:05: New best reward: 523.0 (+7.4%) at episode 1805, saving model...
11-21 22:00:57: New best reward: 560.0 (+7.1%) at episode 2630, saving model...
11-21 22:01:20: New best reward: 720.0 (+28.6%) at episode 2898, saving model...
11-21 22:01:43: New best reward: 772.0 (+7.2%) at episode 3103, saving model...
11-21 22:01:45: New best reward: 886.0 (+14.8%) at episode 3107, saving model...
11-21 22:01:58: New best reward: 899.0 (+1.5%) at episode 3192, saving model...
11-21 22:02:00: New best reward: 1110.0 (+23.5%) at episode 3195, saving model...
11-21 22:02:02: New best reward: 2010.0 (+81.1%) at episode 3201, saving model...
11-21 22:02:48: New best reward: 6487.0 (+222.7%) at episode 3521, saving model...
11-21 22:02:54: New best reward: 12377.0 (+90.8%) at episode 3522, saving model...
11-21 22:03:01: New best reward: 14822.0 (+19.8%) at episode 3523, saving model...
11-21 22:03:21: New best reward: 21685.0 (+46.3%) at episode 3565, saving model...
11-21 22:03:59: New best reward: 87026.0 (+301.3%) at episode 3566, saving model...
11-21 22:05:01: New best reward: 89203.0 (+2.5%) at episode 3569, saving model...
11-21 22:06:46: New best reward: 100000.0 (+12.1%) at episode 3593, saving model...
11-21 22:06:46: Average duration: 1125669.0 timesteps, Average layer passes: 845313.0 (cartpole1-1)
Seed: 78998
11-21 22:06:46: Starting training... (cartpole1-2)
11-21 22:06:46: New best reward: 23.0 (-100.0%) at episode 0, saving model...
11-21 22:06:46: New best reward: 47.0 (+104.3%) at episode 2, saving model...
11-21 22:06:47: New best reward: 50.0 (+6.4%) at episode 6, saving model...
11-21 22:06:47: New best reward: 78.0 (+56.0%) at episode 75, saving model...
11-21 22:06:48: New best reward: 86.0 (+10.3%) at episode 154, saving model...
11-21 22:06:48: New best reward: 93.0 (+8.1%) at episode 197, saving model...
11-21 22:06:49: New best reward: 106.0 (+14.0%) at episode 277, saving model...
11-21 22:06:51: New best reward: 109.0 (+2.8%) at episode 480, saving model...
11-21 22:06:51: New best reward: 121.0 (+11.0%) at episode 500, saving model...
11-21 22:06:51: New best reward: 135.0 (+11.6%) at episode 525, saving model...
11-21 22:06:53: New best reward: 142.0 (+5.2%) at episode 613, saving model...
11-21 22:06:53: New best reward: 164.0 (+15.5%) at episode 638, saving model...
11-21 22:06:55: New best reward: 180.0 (+9.8%) at episode 788, saving model...
11-21 22:06:56: New best reward: 230.0 (+27.8%) at episode 796, saving model...
11-21 22:06:59: New best reward: 289.0 (+25.7%) at episode 929, saving model...
11-21 22:07:06: New best reward: 311.0 (+7.6%) at episode 1173, saving model...
11-21 22:07:09: New best reward: 547.0 (+75.9%) at episode 1236, saving model...
11-21 22:07:14: New best reward: 564.0 (+3.1%) at episode 1356, saving model...
11-21 22:07:16: New best reward: 719.0 (+27.5%) at episode 1394, saving model...
11-21 22:07:41: New best reward: 828.0 (+15.2%) at episode 1763, saving model...
11-21 22:07:43: New best reward: 1139.0 (+37.6%) at episode 1772, saving model...
11-21 22:07:50: New best reward: 1196.0 (+5.0%) at episode 1826, saving model...
11-21 22:07:51: New best reward: 1338.0 (+11.9%) at episode 1832, saving model...
11-21 22:07:54: New best reward: 1470.0 (+9.9%) at episode 1848, saving model...
11-21 22:10:13: New best reward: 1809.0 (+23.1%) at episode 2898, saving model...
11-21 22:10:17: New best reward: 1898.0 (+4.9%) at episode 2905, saving model...
11-21 22:10:20: New best reward: 2443.0 (+28.7%) at episode 2908, saving model...
11-21 22:10:22: New best reward: 3370.0 (+37.9%) at episode 2909, saving model...
11-21 22:10:45: New best reward: 12585.0 (+273.4%) at episode 2966, saving model...
11-21 22:10:59: New best reward: 30629.0 (+143.4%) at episode 2968, saving model...
11-21 22:14:50: New best reward: 33584.0 (+9.6%) at episode 3671, saving model...
11-21 22:15:20: New best reward: 54729.0 (+63.0%) at episode 3673, saving model...
11-21 22:15:52: New best reward: 65655.0 (+20.0%) at episode 3674, saving model...
11-21 22:16:31: New best reward: 79481.0 (+21.1%) at episode 3675, saving model...
11-21 22:18:40: New best reward: 80470.0 (+1.2%) at episode 3698, saving model...
11-21 22:19:37: New best reward: 100000.0 (+24.3%) at episode 3701, saving model...
11-21 22:19:37: Average duration: 1611426.0 timesteps, Average layer passes: 2453516.0 (cartpole1-2)
Seed: 2584
11-21 22:19:37: Starting training... (cartpole1-3)
11-21 22:19:37: New best reward: 16.0 (-100.0%) at episode 0, saving model...
11-21 22:19:37: New best reward: 26.0 (+62.5%) at episode 2, saving model...
11-21 22:19:37: New best reward: 34.0 (+30.8%) at episode 18, saving model...
11-21 22:19:37: New best reward: 35.0 (+2.9%) at episode 21, saving model...
11-21 22:19:38: New best reward: 39.0 (+11.4%) at episode 23, saving model...
11-21 22:19:38: New best reward: 53.0 (+35.9%) at episode 25, saving model...
11-21 22:19:38: New best reward: 55.0 (+3.8%) at episode 26, saving model...
11-21 22:19:38: New best reward: 70.0 (+27.3%) at episode 53, saving model...
11-21 22:19:38: New best reward: 90.0 (+28.6%) at episode 61, saving model...
11-21 22:19:41: New best reward: 91.0 (+1.1%) at episode 442, saving model...
11-21 22:19:41: New best reward: 99.0 (+8.8%) at episode 472, saving model...
11-21 22:19:42: New best reward: 127.0 (+28.3%) at episode 502, saving model...
11-21 22:19:42: New best reward: 150.0 (+18.1%) at episode 537, saving model...
11-21 22:19:43: New best reward: 161.0 (+7.3%) at episode 630, saving model...
11-21 22:19:47: New best reward: 209.0 (+29.8%) at episode 856, saving model...
11-21 22:19:49: New best reward: 270.0 (+29.2%) at episode 942, saving model...
11-21 22:20:03: New best reward: 275.0 (+1.9%) at episode 1346, saving model...
11-21 22:20:04: New best reward: 301.0 (+9.5%) at episode 1358, saving model...
11-21 22:20:24: New best reward: 356.0 (+18.3%) at episode 1711, saving model...
11-21 22:20:29: New best reward: 420.0 (+18.0%) at episode 1773, saving model...
11-21 22:20:36: New best reward: 435.0 (+3.6%) at episode 1857, saving model...
11-21 22:20:38: New best reward: 442.0 (+1.6%) at episode 1881, saving model...
11-21 22:20:56: New best reward: 454.0 (+2.7%) at episode 2047, saving model...
11-21 22:21:52: New best reward: 458.0 (+0.9%) at episode 2659, saving model...
11-21 22:25:06: New best reward: 464.0 (+1.3%) at episode 4604, saving model...
11-21 22:26:01: New best reward: 474.0 (+2.2%) at episode 5041, saving model...
11-21 22:27:19: New best reward: 484.0 (+2.1%) at episode 5643, saving model...
11-21 22:28:46: New best reward: 514.0 (+6.2%) at episode 6382, saving model...
11-21 22:29:46: New best reward: 621.0 (+20.8%) at episode 6834, saving model...
11-21 22:31:37: New best reward: 630.0 (+1.4%) at episode 7589, saving model...
11-21 22:33:34: New best reward: 671.0 (+6.5%) at episode 8371, saving model...
11-21 22:33:35: New best reward: 694.0 (+3.4%) at episode 8373, saving model...
11-21 22:34:25: New best reward: 698.0 (+0.6%) at episode 8666, saving model...
11-21 22:34:32: New best reward: 895.0 (+28.2%) at episode 8703, saving model...
11-21 22:34:36: New best reward: 1128.0 (+26.0%) at episode 8720, saving model...
11-21 22:34:40: New best reward: 1177.0 (+4.3%) at episode 8738, saving model...
11-21 22:35:03: New best reward: 1787.0 (+51.8%) at episode 8846, saving model...
11-21 22:36:26: New best reward: 100000.0 (+5496.0%) at episode 8916, saving model...
11-21 22:36:26: Average duration: 1675947.0 timesteps, Average layer passes: 4307010.0 (cartpole1-3)
Seed: 42914
11-21 22:36:27: Starting training... (cartpole1-4)
11-21 22:36:27: New best reward: 16.0 (-100.0%) at episode 0, saving model...
11-21 22:36:27: New best reward: 35.0 (+118.8%) at episode 1, saving model...
11-21 22:36:27: New best reward: 76.0 (+117.1%) at episode 5, saving model...
11-21 22:36:29: New best reward: 88.0 (+15.8%) at episode 222, saving model...
11-21 22:36:29: New best reward: 93.0 (+5.7%) at episode 258, saving model...
11-21 22:36:29: New best reward: 108.0 (+16.1%) at episode 295, saving model...
11-21 22:36:31: New best reward: 121.0 (+12.0%) at episode 393, saving model...
11-21 22:36:35: New best reward: 129.0 (+6.6%) at episode 617, saving model...
11-21 22:36:40: New best reward: 213.0 (+65.1%) at episode 798, saving model...
11-21 22:36:43: New best reward: 242.0 (+13.6%) at episode 888, saving model...
11-21 22:36:50: New best reward: 267.0 (+10.3%) at episode 1101, saving model...
11-21 22:37:03: New best reward: 358.0 (+34.1%) at episode 1330, saving model...
11-21 22:37:04: New best reward: 398.0 (+11.2%) at episode 1338, saving model...
11-21 22:37:05: New best reward: 507.0 (+27.4%) at episode 1343, saving model...
11-21 22:37:34: New best reward: 508.0 (+0.2%) at episode 1650, saving model...
11-21 22:37:57: New best reward: 788.0 (+55.1%) at episode 1819, saving model...
11-21 22:38:13: New best reward: 1376.0 (+74.6%) at episode 1920, saving model...
11-21 22:57:14: New best reward: 2539.0 (+84.5%) at episode 8800, saving model...
11-21 23:47:57: New best reward: 100000.0 (+3838.6%) at episode 16361, saving model...
11-21 23:47:58: Average duration: 3991305.0 timesteps, Average layer passes: 14556732.0 (cartpole1-4)
Seed: 19709
11-21 23:47:58: Starting training... (cartpole1-5)
11-21 23:47:58: New best reward: 24.0 (-100.0%) at episode 0, saving model...
11-21 23:47:58: New best reward: 38.0 (+58.3%) at episode 9, saving model...
11-21 23:47:58: New best reward: 53.0 (+39.5%) at episode 13, saving model...
11-21 23:47:59: New best reward: 64.0 (+20.8%) at episode 109, saving model...
11-21 23:48:00: New best reward: 85.0 (+32.8%) at episode 152, saving model...
11-21 23:48:03: New best reward: 137.0 (+61.2%) at episode 386, saving model...
11-21 23:48:10: New best reward: 152.0 (+10.9%) at episode 724, saving model...
11-21 23:48:10: New best reward: 167.0 (+9.9%) at episode 730, saving model...
11-21 23:48:13: New best reward: 169.0 (+1.2%) at episode 832, saving model...
11-21 23:48:14: New best reward: 175.0 (+3.6%) at episode 855, saving model...
11-21 23:48:14: New best reward: 205.0 (+17.1%) at episode 859, saving model...
11-21 23:48:15: New best reward: 207.0 (+1.0%) at episode 867, saving model...
11-21 23:48:19: New best reward: 230.0 (+11.1%) at episode 957, saving model...
11-21 23:48:20: New best reward: 274.0 (+19.1%) at episode 981, saving model...
11-21 23:48:24: New best reward: 374.0 (+36.5%) at episode 1074, saving model...
11-21 23:48:25: New best reward: 392.0 (+4.8%) at episode 1087, saving model...
11-21 23:48:41: New best reward: 482.0 (+23.0%) at episode 1351, saving model...
11-21 23:48:43: New best reward: 563.0 (+16.8%) at episode 1364, saving model...
11-21 23:49:35: New best reward: 645.0 (+14.6%) at episode 1841, saving model...
11-21 23:49:39: New best reward: 647.0 (+0.3%) at episode 1858, saving model...
11-21 23:49:46: New best reward: 694.0 (+7.3%) at episode 1887, saving model...
11-21 23:49:49: New best reward: 966.0 (+39.2%) at episode 1895, saving model...
11-21 23:49:53: New best reward: 1028.0 (+6.4%) at episode 1903, saving model...
11-21 23:49:54: New best reward: 1033.0 (+0.5%) at episode 1905, saving model...
11-21 23:49:56: New best reward: 1797.0 (+74.0%) at episode 1908, saving model...
11-22 00:36:53: New best reward: 21162.0 (+1077.6%) at episode 10397, saving model...
11-22 00:38:31: New best reward: 100000.0 (+372.5%) at episode 10438, saving model...
11-22 00:38:32: Average duration: 3032764.0 timesteps, Average layer passes: 13150350.0 (cartpole1-5)
Seed: 73544
11-22 00:38:32: Starting training... (cartpole1-6)
11-22 00:38:32: New best reward: 11.0 (-100.0%) at episode 0, saving model...
11-22 00:38:32: New best reward: 13.0 (+18.2%) at episode 1, saving model...
11-22 00:38:32: New best reward: 25.0 (+92.3%) at episode 2, saving model...
11-22 00:38:33: New best reward: 51.0 (+104.0%) at episode 3, saving model...
11-22 00:38:33: New best reward: 53.0 (+3.9%) at episode 11, saving model...
11-22 00:38:33: New best reward: 69.0 (+30.2%) at episode 17, saving model...
11-22 00:38:34: New best reward: 71.0 (+2.9%) at episode 137, saving model...
11-22 00:38:34: New best reward: 74.0 (+4.2%) at episode 143, saving model...
11-22 00:38:34: New best reward: 79.0 (+6.8%) at episode 172, saving model...
11-22 00:38:34: New best reward: 81.0 (+2.5%) at episode 180, saving model...
11-22 00:38:35: New best reward: 96.0 (+18.5%) at episode 278, saving model...
11-22 00:38:38: New best reward: 125.0 (+30.2%) at episode 459, saving model...
11-22 00:38:39: New best reward: 132.0 (+5.6%) at episode 519, saving model...
11-22 00:38:41: New best reward: 154.0 (+16.7%) at episode 644, saving model...
11-22 00:38:46: New best reward: 163.0 (+5.8%) at episode 848, saving model...
11-22 00:38:48: New best reward: 227.0 (+39.3%) at episode 916, saving model...
11-22 00:38:49: New best reward: 243.0 (+7.0%) at episode 930, saving model...
11-22 00:39:01: New best reward: 295.0 (+21.4%) at episode 1228, saving model...
11-22 00:39:01: New best reward: 298.0 (+1.0%) at episode 1240, saving model...
11-22 00:39:10: New best reward: 323.0 (+8.4%) at episode 1374, saving model...
11-22 00:39:11: New best reward: 350.0 (+8.4%) at episode 1397, saving model...
11-22 00:39:15: New best reward: 361.0 (+3.1%) at episode 1442, saving model...
11-22 00:39:21: New best reward: 470.0 (+30.2%) at episode 1510, saving model...
11-22 00:39:55: New best reward: 476.0 (+1.3%) at episode 1822, saving model...
11-22 00:40:19: New best reward: 508.0 (+6.7%) at episode 2059, saving model...
11-22 00:54:54: New best reward: 100000.0 (+19585.0%) at episode 8597, saving model...
11-22 00:54:55: Average duration: 1130167.0 timesteps, Average layer passes: 5583456.0 (cartpole1-6)
Seed: 65288
11-22 00:54:55: Starting training... (cartpole1-7)
11-22 00:54:55: New best reward: 18.0 (-100.0%) at episode 0, saving model...
11-22 00:54:55: New best reward: 20.0 (+11.1%) at episode 1, saving model...
11-22 00:54:55: New best reward: 42.0 (+110.0%) at episode 2, saving model...
11-22 00:54:55: New best reward: 56.0 (+33.3%) at episode 5, saving model...
11-22 00:54:55: New best reward: 59.0 (+5.4%) at episode 7, saving model...
11-22 00:54:55: New best reward: 64.0 (+8.5%) at episode 40, saving model...
11-22 00:54:56: New best reward: 87.0 (+35.9%) at episode 177, saving model...
11-22 00:54:57: New best reward: 89.0 (+2.3%) at episode 225, saving model...
11-22 00:54:57: New best reward: 102.0 (+14.6%) at episode 275, saving model...
11-22 00:54:59: New best reward: 114.0 (+11.8%) at episode 382, saving model...
11-22 00:54:59: New best reward: 161.0 (+41.2%) at episode 401, saving model...
11-22 00:55:03: New best reward: 179.0 (+11.2%) at episode 613, saving model...
11-22 00:55:07: New best reward: 191.0 (+6.7%) at episode 757, saving model...
11-22 00:55:10: New best reward: 256.0 (+34.0%) at episode 858, saving model...
11-22 00:55:13: New best reward: 277.0 (+8.2%) at episode 974, saving model...
11-22 00:55:15: New best reward: 332.0 (+19.9%) at episode 1007, saving model...
