11-21 22:36:27: Starting training... (cartpole1-4)
11-21 22:36:27: New best reward: 16.0 (-100.0%) at episode 0, saving model...
11-21 22:36:27: New best reward: 35.0 (+118.8%) at episode 1, saving model...
11-21 22:36:27: New best reward: 76.0 (+117.1%) at episode 5, saving model...
11-21 22:36:29: New best reward: 88.0 (+15.8%) at episode 222, saving model...
11-21 22:36:29: New best reward: 93.0 (+5.7%) at episode 258, saving model...
11-21 22:36:29: New best reward: 108.0 (+16.1%) at episode 295, saving model...
11-21 22:36:31: New best reward: 121.0 (+12.0%) at episode 393, saving model...
11-21 22:36:35: New best reward: 129.0 (+6.6%) at episode 617, saving model...
11-21 22:36:40: New best reward: 213.0 (+65.1%) at episode 798, saving model...
11-21 22:36:43: New best reward: 242.0 (+13.6%) at episode 888, saving model...
11-21 22:36:50: New best reward: 267.0 (+10.3%) at episode 1101, saving model...
11-21 22:37:03: New best reward: 358.0 (+34.1%) at episode 1330, saving model...
11-21 22:37:04: New best reward: 398.0 (+11.2%) at episode 1338, saving model...
11-21 22:37:05: New best reward: 507.0 (+27.4%) at episode 1343, saving model...
11-21 22:37:34: New best reward: 508.0 (+0.2%) at episode 1650, saving model...
11-21 22:37:57: New best reward: 788.0 (+55.1%) at episode 1819, saving model...
11-21 22:38:13: New best reward: 1376.0 (+74.6%) at episode 1920, saving model...
11-21 22:57:14: New best reward: 2539.0 (+84.5%) at episode 8800, saving model...
11-21 23:47:57: New best reward: 100000.0 (+3838.6%) at episode 16361, saving model...
11-21 23:47:58: Average duration: 3991305.0 timesteps, Average layer passes: 14556732.0 (cartpole1-4)
