11-14 16:33:26: Starting training... (cartpole1-4)
11-14 16:33:26: New best reward: 25.0 (-100.0%) at episode 0, saving model...
11-14 16:33:26: New best reward: 42.0 (+68.0%) at episode 1, saving model...
11-14 16:33:26: New best reward: 49.0 (+16.7%) at episode 9, saving model...
11-14 16:33:26: New best reward: 50.0 (+2.0%) at episode 53, saving model...
11-14 16:33:26: New best reward: 56.0 (+12.0%) at episode 66, saving model...
11-14 16:33:26: New best reward: 67.0 (+19.6%) at episode 103, saving model...
11-14 16:33:27: New best reward: 78.0 (+16.4%) at episode 292, saving model...
11-14 16:33:27: New best reward: 83.0 (+6.4%) at episode 321, saving model...
11-14 16:33:27: New best reward: 88.0 (+6.0%) at episode 342, saving model...
11-14 16:33:29: New best reward: 109.0 (+23.9%) at episode 1444, saving model...
11-14 16:33:31: New best reward: 141.0 (+29.4%) at episode 2178, saving model...
11-14 16:33:37: New best reward: 142.0 (+0.7%) at episode 3950, saving model...
11-14 16:33:39: New best reward: 145.0 (+2.1%) at episode 4460, saving model...
11-14 16:33:59: New best reward: 159.0 (+9.7%) at episode 9433, saving model...
11-14 16:34:09: New best reward: 187.0 (+17.6%) at episode 11658, saving model...
11-14 16:35:02: New best reward: 100000.0 (+53375.9%) at episode 18613, saving model...
