11-14 16:10:45: Starting training... (cartpole1)
11-14 16:10:46: New best reward: 28.0 (-100.0%) at episode 0, saving model...
11-14 16:10:46: New best reward: 36.0 (+28.6%) at episode 5, saving model...
11-14 16:10:46: New best reward: 39.0 (+8.3%) at episode 21, saving model...
11-14 16:10:46: New best reward: 45.0 (+15.4%) at episode 28, saving model...
11-14 16:10:46: New best reward: 64.0 (+42.2%) at episode 37, saving model...
11-14 16:10:46: New best reward: 66.0 (+3.1%) at episode 115, saving model...
11-14 16:10:46: New best reward: 76.0 (+15.2%) at episode 504, saving model...
11-14 16:10:47: New best reward: 88.0 (+15.8%) at episode 1116, saving model...
11-14 16:10:47: New best reward: 106.0 (+20.5%) at episode 1156, saving model...
11-14 16:10:48: New best reward: 121.0 (+14.2%) at episode 1504, saving model...
11-14 16:10:48: New best reward: 139.0 (+14.9%) at episode 1644, saving model...
11-14 16:10:54: New best reward: 196.0 (+41.0%) at episode 4349, saving model...
11-14 16:14:02: New best reward: 407.0 (+107.7%) at episode 73000, saving model...
11-14 16:14:03: New best reward: 3354.0 (+724.1%) at episode 73002, saving model...
11-14 16:21:17: New best reward: 100000.0 (+2881.5%) at episode 175036, saving model...
