11-14 18:26:24: Starting training... (cartpole1-1)
11-14 18:26:25: New best reward: -7.5 (-100.0%) at episode 0, saving model...
11-14 18:26:25: New best reward: -6.3 (-16.0%) at episode 1, saving model...
11-14 18:26:27: New best reward: -4.5 (-28.6%) at episode 22, saving model...
11-14 18:26:31: New best reward: -3.9 (-13.3%) at episode 72, saving model...
11-14 18:26:43: New best reward: -3.3 (-15.4%) at episode 210, saving model...
11-14 18:27:01: New best reward: -0.9 (-72.7%) at episode 417, saving model...
11-14 18:42:45: New best reward: -0.3 (-66.7%) at episode 10860, saving model...
11-14 18:47:20: New best reward: 0.9 (-400.0%) at episode 13529, saving model...
11-14 18:50:40: New best reward: 3.0 (+233.3%) at episode 16291, saving model...
11-14 18:57:16: New best reward: 3.1 (+3.3%) at episode 22724, saving model...
11-14 19:00:07: New best reward: 3.4 (+9.7%) at episode 25554, saving model...
11-14 19:09:55: New best reward: 4.3 (+26.5%) at episode 34467, saving model...
11-14 19:33:21: New best reward: 4.3 (+0.0%) at episode 56616, saving model...
