11-14 20:38:38: Starting training... (cartpole1-1)
11-14 20:38:38: New best reward: -8.1 (-100.0%) at episode 0, saving model...
11-14 20:38:39: New best reward: -6.9 (-14.8%) at episode 1, saving model...
11-14 20:38:39: New best reward: -6.3 (-8.7%) at episode 5, saving model...
11-14 20:38:43: New best reward: -4.5 (-28.6%) at episode 52, saving model...
11-14 20:39:11: New best reward: -3.3 (-26.7%) at episode 317, saving model...
11-14 20:39:14: New best reward: -0.9 (-72.7%) at episode 351, saving model...
11-14 20:40:32: New best reward: -0.3 (-66.7%) at episode 1214, saving model...
11-14 20:41:06: New best reward: 2.7 (-1000.0%) at episode 1563, saving model...
11-14 20:41:28: New best reward: 2.9 (+7.4%) at episode 1799, saving model...
11-14 20:41:54: New best reward: 3.3 (+13.8%) at episode 2063, saving model...
11-14 20:45:08: New best reward: 4.6 (+39.4%) at episode 4035, saving model...
11-14 20:45:40: New best reward: 5.4 (+17.4%) at episode 4336, saving model...
11-14 20:45:43: New best reward: 5.5 (+1.9%) at episode 4367, saving model...
11-14 20:46:49: New best reward: 5.7 (+3.6%) at episode 4957, saving model...
11-14 20:48:02: New best reward: 6.2 (+8.8%) at episode 5638, saving model...
11-14 20:48:24: New best reward: 7.1 (+14.5%) at episode 5841, saving model...
11-14 20:49:38: New best reward: 8.6 (+21.1%) at episode 6540, saving model...
