11-14 17:16:52: Starting training... (cartpole1-1)
11-14 17:16:53: New best reward: 11.0 (-100.0%) at episode 0, saving model...
11-14 17:16:53: New best reward: 43.0 (+290.9%) at episode 1, saving model...
11-14 17:16:53: New best reward: 45.0 (+4.7%) at episode 9, saving model...
11-14 17:16:53: New best reward: 53.0 (+17.8%) at episode 70, saving model...
11-14 17:16:53: New best reward: 56.0 (+5.7%) at episode 128, saving model...
11-14 17:16:53: New best reward: 69.0 (+23.2%) at episode 161, saving model...
11-14 17:16:54: New best reward: 74.0 (+7.2%) at episode 427, saving model...
11-14 17:16:56: New best reward: 76.0 (+2.7%) at episode 1657, saving model...
11-14 17:16:56: New best reward: 83.0 (+9.2%) at episode 1698, saving model...
11-14 17:16:56: New best reward: 90.0 (+8.4%) at episode 1748, saving model...
11-14 17:16:56: New best reward: 141.0 (+56.7%) at episode 1749, saving model...
11-14 17:16:57: New best reward: 150.0 (+6.4%) at episode 2129, saving model...
11-14 17:16:57: New best reward: 153.0 (+2.0%) at episode 2213, saving model...
11-14 17:16:58: New best reward: 178.0 (+16.3%) at episode 2903, saving model...
11-14 17:25:17: Giving up after 200001 episodes.
